symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,865000000,,0,1.33168,8128000000,Agilent Technologies Inc.,0.65,66.93281,0.054382022471910006,66.6286,0.011788384128809,6237000000,0.596,0.8468315,2018-10-01 00:00:00.0,315024508,1916000000,,79.5,2.1,2017-10-31,22435000718,0.06668687481054801,0.15277645833265002,0.036765550746712006,10,46.2,10.9,4.89,4.636708,6.73,3.61,,6.54,3514000000,242345,11,318769547,2018-08-31,4233272,1.73,2.5700000000000003,9.7018,75,60.42,0.097016949363892,0.5402426133789701,0.9846932157218831,0.045967274510677
AA,940000000,,14.2857,0.6630429999999999,1119000000,Alcoa Corporation,1.33,47.76475,-0.06548832993428501,42.892,-0.032606145906638004,1401000000,0,0,0,186017718,1418000000,0.2,81.6,1.16,2017-12-31,7690148170,-0.050644567219152004,-0.06823316764572901,-0.098973126502075,5,0,0,1.56,0.61094785,4.82,0.85,,2.59,6138000000,420411,33,186473040,2018-08-31,8470942,2.47,4.05,-8.9424,62.35,40.03,-0.089423713844115,0.8394865138519041,0.8394865138519041,-0.252492296537973
AAAU,0,,0,0,0,Perth Mint Physical Gold,0,,0.022700170357751,,-0.0019534497090600003,0,0,0,0,100000,0,,,0,0,1200650,-0.003609958506224,0.022700170357751,0.022700170357751,0,0,0,,,,,,,0,NaN,0,100000,0,0,,0,0,12.13,11.7394,0.022700170357751,0.022700170357751,0.022700170357751,0.022700170357751
AABA,0,,0,1.807594,0,Altaba Inc.,0,73.39675,-0.004255319148936,69.8216,0.011477120286182,0,0,0,0,588918384,0,,67,22.63,2017-12-31,41089786181,-0.015094339622641001,-0.10071561091969201,-0.104867431737237,0,0,0,0.65,1.8520162999999998,95.27,24.1,,32.69,0,0,0,605508196,2018-08-31,24719649,1.63,0,4.4643,82.45,62.802,0.044642857142857005,0.604634665405533,1.07206106870229,-0.072063448653083
AAC,9890000,,-50,1.283358,16412000,AAC Holdings Inc.,0.18,9.8531,-0.255122950819672,8.8826,0.077037037037036,227006000,0,0,0,9509214,0,61.3,61.2,-0.88,2017-12-31,178817827,-0.23473684210526302,-0.267875125881168,-0.40798045602605804,2,0,0,1.15,0.5473880999999999,-8.49,-4.63,,-13.19,80424000,38297,3,24596675,2018-08-31,2190703,8.31,0.44,-28.233,12.96,6.72,-0.282329713721619,-0.569567791592658,-0.607027027027027,-0.215749730312837
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,56.999,0.041398164421011005,52.25894,0.036943418238382,0,0.73204,1.3726608,2018-06-25 00:00:00.0,3625000,0,,,0,0,193321250,0.020865237366002,-0.013138415988156,-0.09699704530253901,0,0,0,2.96,,,2.66,,10.95,0,NaN,0,3625000,2013-01-15,2867,1.0166667,0,-0.80390006,64,47.31,-0.008039105542555,0.35495295902112,0.545918086342989,-0.110853983650917
AAL,2802000000,,2.5157,1.099343,10834000000,American Airlines Group Inc.,1.5899999999999999,45.88842,0.10029657589646801,39.18858,-0.018990384615384,49749000000,0.4,0.98015195,2018-08-06 00:00:00.0,449506141,12416000000,,77.9,4.25,2017-12-31,18793381105,0.051262235960844005,0.031162274772782002,-0.20917442926267701,8,0,0,6.19,0.48979419999999996,4.08,2.74,,100.19,21478000000,163207,47,460509216,2018-08-31,26090365,4.69,4.75,-13.6666,59.08,35.64,-0.13666538326472,0.18952194684023202,1.181944555831796,-0.22455137608403103
AAMC,0,,0,1.367175,0,Altisource Asset Management Corp Com,0,66.69631,-0.068445475638051,63.22738,-0.022321428571428003,0,0,0,0,1460558,0,9.5,39.6,-4.57,2017-12-31,97159065,-0.039473684210526,-0.134698275862068,0.027730375426621,0,0,0,335.5,5.8977213,-56.7,-16.76,,2.9699999999999998,0,0,0,1613268,2018-08-31,36946,48.11,0,-29.147100000000002,93.8,55,-0.29147058823529404,2.898058252427185,-0.8828307392996101,-0.227389352148813
AAME,0,,0,0.5471159999999999,0,Atlantic American Corporation,0,3.01653,0.06249999999999901,2.66186,-0.12068965517241301,0,0.02,0.78431374,2018-04-12 00:00:00.0,16384957,0,19.1,5,0.2,2017-12-31,51636182,-0.055555555555555004,0.019999999999999,-0.21055075694250902,0,38.7,6.7,0.5,0.29226243,0.79,0.31,,1.01,0,0,0,20249483,2018-08-31,555,0.23,0,-21.0552,4,2.2,-0.21055075694250902,-0.24600827912477802,-0.34742552973692303,-0.21055075694250902
AAN,871337000,,10.526299999999999,0.018659,220568000,Aaron's Inc.,0.76,44.28119,0.121040312093628,48.71944,0.036353144835545005,0,0.12,0.22271715,2018-09-19 00:00:00.0,65734751,1597810000,,99.4,4.06,2017-12-31,3910518858,0.06775106418396701,0.198017534458568,0.166941003205406,6,0,10.7,2.15,1.0930216,8.04,11.24,,17.68,1723510000,144833,24,72578301,2018-08-31,2923824,5.77,2.73,37.051098,56,34.29,0.370511118233292,1.16880273072712,0.9831206545623181,0.367668896193727
