symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,865000000,,0,1.335521,8128000000,Agilent Technologies Inc.,0.65,66.88526,0.06731059462722501,66.344,0.023740590619571,6237000000,0.596,0.8427602,2018-10-01 00:00:00.0,315024508,1916000000,,79.5,2.1,2017-10-31,22543382364,0.077227722772277,0.12901449104148002,0.053045373866844006,10,46.2,10.9,4.97,4.7149253,6.73,3.61,,6.54,3514000000,242345,11,318769547,2018-08-31,4233272,1.73,2.5700000000000003,8.2418,75,60.42,0.08472246933879701,0.544367818100025,1.010495971616527,0.051020256513145006
AA,940000000,,14.2857,0.578766,1119000000,Alcoa Corporation,1.33,47.7612,-0.02645620275678,43.1214,0.022414195657249003,1401000000,0,0,0,186017718,1418000000,,80.6,1.16,2017-12-31,8165654422,0.013188338732068,-0.038849868305531006,-0.025155832591273002,5,0,0,1.5899999999999999,0.6250713,4.7,0.84,,2.56,6138000000,420411,33,186473040,2018-08-31,8470942,2.47,4.05,-5.3188996,62.35,40.03,-0.035037461436756005,0.9532277992622421,0.9532277992622421,-0.20627152437919102
AAAU,0,,0,0,0,Perth Mint Physical Gold,0,,0.021166950596252003,,-0.0015407678854,0,0,0,0,100000,0,,,0,0,1198850,0.0023829431438120003,0.021166950596252003,0.021166950596252003,0,0,0,,,,,,,0,NaN,0,100000,0,0,,0,0,12.13,11.7394,0.021166950596252003,0.021166950596252003,0.021166950596252003,0.021166950596252003
AABA,0,,0,1.804249,0,Altaba Inc.,0,73.4072,-0.042835000704522,70.0954,0.030804248861912003,0,0,0,0,588918384,0,,67,22.63,2017-12-31,41132171754,-0.033987485779294,-0.145104455071734,-0.08904385141477701,0,0,0,0.66,1.8728409,95.27,24.1,,32.69,0,0,0,605508196,2018-08-31,24719649,1.63,0,2.0123,82.45,62.802,0.008761508761508,0.538618346545866,1.244877726371447,-0.071106249145357
AAC,9890000,,-50,1.261587,16412000,AAC Holdings Inc.,0.18,9.8652,-0.18770581778265602,8.9876,0.008174386920980001,227006000,0,0,0,9509214,0,,47.5,-0.88,2017-12-31,182015395,-0.23711340206185502,-0.26660059464816604,-0.407526020816653,2,0,0,1.13,0.5405928999999999,-8.43,-4.58,,-13.04,80424000,38297,3,24596675,2018-08-31,2190703,8.31,0.44,-22.4319,12.96,6.72,-0.24257932446264002,-0.5870535714285711,-0.6000000000000001,-0.201725997842502
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,57.02088,-0.0028565987430960002,52.31714,0.031724137931034,0,0.73204,1.3980901000000001,2018-06-25 00:00:00.0,3650000,0,,,0,0,191114000,0.005569425772997001,-0.058376688888449005,-0.10763892439472401,0,0,0,2.96,,,2.66,,10.95,0,NaN,0,3650000,2013-01-15,2867,1.0166667,0,-4.8733,64,47.31,-0.049734666173022,0.299552255105383,0.511189614467706,-0.127026337595387
AAL,2802000000,,2.5157,1.098854,10834000000,American Airlines Group Inc.,1.5899999999999999,45.96648,0.17015566290928602,39.01691,0.081349206349206,49749000000,0.4,0.9174312,2018-08-06 00:00:00.0,449506141,12416000000,,77.9,4.25,2017-12-31,20078201818,0.11252870630262801,0.05716447151475101,-0.16237769465593102,8,0,0,6.19,0.48874414,4.08,2.74,,100.19,21478000000,163207,47,460509216,2018-08-31,26090365,4.69,4.75,-4.9549,59.08,35.64,-0.06509992280641501,0.259307611879083,1.4065130398785701,-0.171537368225037
AAMC,0,,0,1.364797,0,Altisource Asset Management Corp Com,0,66.82006,-0.103603603603603,63.42238,-0.029268292682926002,0,0,0,0,1460558,0,9.5,39.6,-4.57,2017-12-31,96312100,-0.07727975270479101,-0.144699140401146,-0.007976071784646,0,0,0,335.5,5.962109,-56.7,-16.76,,2.9699999999999998,0,0,0,1613268,2018-08-31,36946,48.11,0,-31.7812,93.8,55,-0.32883642495784104,2.491228070175438,-0.842894736842105,-0.23412443874278302
AAME,0,,0,0.5399900000000001,0,Atlantic American Corporation,0,3.02594,0.019607843137255002,2.6541300000000003,-0.133333333333333,0,0.02,0.7692308,2018-04-12 00:00:00.0,16384957,0,19.1,5,0.2,2017-12-31,52648656,-0.018867924528301,0,-0.156118143459915,0,38.7,6.7,0.5,0.30329117,0.79,0.31,,1.01,0,0,0,20249483,2018-08-31,555,0.23,0,-18.2496,4,2.2,-0.20726873589853,-0.20326050317163602,-0.33462995188862704,-0.195071360019813
AAN,871337000,,10.526299999999999,0.026104,220568000,Aaron's Inc.,0.76,44.11558,0.190338189140337,48.33842,0.078781181542628,0,0.12,0.21641119,2018-09-19 00:00:00.0,65734751,1597810000,,99.4,4.06,2017-12-31,4024466790,0.09237406670475301,0.22747054734782202,0.20852440151343402,6,0,10.7,2.1,1.0690545,8.04,11.24,,17.68,1723510000,144833,24,72578301,2018-08-31,2923824,5.77,2.73,43.1877,55.64,34.29,0.42454168036830003,1.179664068365586,1.094017416786882,0.40752116358467305
AAOI,23161000,,55.8824,2.501973,70966000,Applied Optoelectronics Inc.,0.34,35.806,-0.230117647058823,38.9742,-0.038777908343125,41009000,0,0,0,18338563,39372000,,64.8,3.66,2017-12-31,644518429,-0.21778627779105902,-0.252114285714285,0.260400616332819,5,0,0,1.8900000000000001,2.012067,10.58,7.93,,10.73,88879000,29102,5,19697996,2018-08-31,6797303,5.7,2.47,-48.5535,66.23,22.54,-0.48714733542319705,0.5700575815738961,2.285140562248995,-0.136903191769981
AAON,26369000,,10,0.862965,34857000,AAON Inc.,0.2,35.78887,0.021794871794871003,39.048,-0.016049382716049002,0,0.32,0.8030113,2018-06-07 00:00:00.0,40403765,35658000,,75.7,1.03,2017-12-31,2082750885,-0.071095571095571,0.20392749244712902,0.038820879647974,1,0,14.8,8.82,5.1784616,11.27,15.18,,20.14,113668000,57091,2,52264765,2018-08-31,4552455,24.16,0.8,20.5148,43.3,29.05,0.20695764896159202,0.40652188491580205,1.37727362210596,0.08380520335286
