symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,865000000,,0,1.330883,8128000000,Agilent Technologies Inc.,0.65,66.99258,0.090937210021651,67.0584,0.0084345961401,6237000000,0.596,0.8449107,2018-10-01 00:00:00.0,315024508,1916000000,,79.5,2.1,2017-10-31,22486003845,0.048765982753493003,0.147551651211973,0.09747521579219201,10,46.2,10.9,4.93,4.6930513,6.73,3.61,,6.54,3514000000,242345,11,318769547,2018-09-14,4281663,1.96,2.5700000000000003,11.2401,75,60.42,0.09488258028466301,0.522913873542448,1.017151795390919,0.048345148394192
AA,940000000,,14.2857,0.688908,1119000000,Alcoa Corporation,1.33,47.75045,-0.038781822507732,42.5688,-0.037178265014299,1401000000,0,0,0,186017718,1418000000,,80.6,1.16,2017-12-31,7533510816,-0.089474870407933,-0.11944202266782901,-0.088858818222823,5,0,0,1.5,0.58968985,4.7,0.84,,2.56,6138000000,420411,33,186473040,2018-09-14,7475615,2.21,4.05,-12.3264,62.35,39.58,-0.15215110178384,0.8020187963049691,0.8020187963049691,-0.267717962660866
AAAU,0,,0,0,0,Perth Mint Physical Gold,0,,0.008460236886632,,-0.006666666666666,0,0,0,0,100000,0,,,0,0,1192000,-0.007196162046908001,0.015332197614991001,0.015332197614991001,0,0,0,,,,,,,0,NaN,0,100000,0,0,,0,0,12.13,11.7394,0.015332197614991001,0.015332197614991001,0.015332197614991001,0.015332197614991001
AABA,0,,0,1.807407,0,Altaba Inc.,0,73.3554,-0.00073346046648,69.4486,0.00784139665631,0,0,0,0,588918384,0,,67,22.63,2017-12-31,41247218312,-0.017452762152026003,-0.072061027108023,-0.048603351955307,0,0,0,0.66,1.8764031,95.27,24.1,,32.69,0,0,0,605508196,2018-09-14,22718777,2.52,0,3.8731,82.45,62.802,0.024206886182528004,0.580510440835266,1.053662948447392,-0.068508136195815
AAC,9890000,,-50,1.28143,16412000,AAC Holdings Inc.,0.18,9.83095,-0.22773279352226702,8.7494,0.05241379310344801,227006000,0,0,0,9509214,0,,47.5,-0.88,2017-12-31,187672630,-0.134920634920634,-0.21177685950413203,-0.310749774164408,2,0,0,1.21,0.5496532,-8.43,-4.58,,-13.04,80424000,38297,3,24596675,2018-09-14,2262145,10.13,0.44,-25.488298,12.96,6.72,-0.23623623623623602,-0.561242093156986,-0.587567567567567,-0.176914778856526
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,56.95723,0.063503648191331,52.20666,0.026942682579790003,0,0.42935,0.79849356,2018-09-26 00:00:00.0,3625000,0,,,0,0,194916250,0.031078077749845,0.023814102625130004,-0.05696612128429301,0,0,0,2.96,,,2.66,,10.95,0,NaN,0,3625000,2013-01-15,2867,1.0166667,0,-1.5293,64,47.31,-0.028185687562692,0.34494264546241304,0.5728108765853881,-0.10350461836006501
AAL,2802000000,,2.5157,1.097809,10834000000,American Airlines Group Inc.,1.5899999999999999,45.74701,0.09367557554908701,39.39431,-0.015483563601715001,49749000000,0.4,0.9678200000000001,2018-08-06 00:00:00.0,449506141,12416000000,,77.9,4.25,2017-12-31,19032845897,0.023019801980198002,0.08023763659791701,-0.16563371865322402,8,0,0,6.19,0.48419389999999995,4.08,2.74,,100.19,21478000000,163207,47,460509216,2018-09-14,26423634,4.55,4.75,-12.1799,59.08,35.64,-0.12621564482029501,0.14939651816007501,1.269195926098772,-0.21467062909955903
AAMC,0,,0,1.368069,0,Altisource Asset Management Corp Com,0,66.48318,-0.06703039750584501,62.88498,-0.006226650062266001,0,0,0,0,1460558,0,9.5,39.6,-4.57,2017-12-31,96554090,-0.046215139442231004,-0.126914660831509,-0.08625954198473201,0,0,0,335.5,5.9295483,-56.7,-16.76,,2.9699999999999998,0,0,0,1613268,2018-09-14,36342,80.76,0,-29.5468,93.8,55,-0.27012195121951205,2.235135135135135,-0.8877110694183861,-0.23220012828736303
AAME,0,,0,0.5500349999999999,0,Atlantic American Corporation,0,3.00335,-0.056603773584905,2.65586,-0.056603773584905,0,0.02,0.8,2018-04-12 00:00:00.0,16384957,0,19.1,5,0.2,2017-12-31,50623708,-0.019607843137254003,-0.019607843137254003,-0.24913650698303003,0,38.7,6.7,0.5,0.27571926,0.79,0.31,,1.01,0,0,0,20249483,2018-09-14,673,0.2,0,-21.3939,4,2.2,-0.23775839990243303,-0.219725343320848,-0.363381716322892,-0.22603015386520503
AAN,871337000,,10.526299999999999,0.016444,220568000,Aaron's Inc.,0.76,44.52513,0.10754312930759201,49.25079,0.0035010134512620003,0,0.12,0.22034521,2018-09-19 00:00:00.0,65734751,1597810000,,99.4,4.06,2017-12-31,3952614272,0.10686782421004001,0.233946908108794,0.17695620884381202,6,0,10.7,2.16,1.093223,8.04,11.24,,17.68,1723510000,144833,24,72578301,2018-09-14,2779051,6.13,2.73,25.418299,56,34.29,0.24645243980591403,1.1550649566494,0.9972274991015041,0.382391389879554
