symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,865000000,,0,1.3358539999999999,8128000000,Agilent Technologies Inc.,0.65,66.8606,0.066576698155645,66.1986,0.033115468409586,6237000000,0.596,0.8379023999999999,2018-10-01 00:00:00.0,315024508,1916000000,,79.5,2.1,2017-10-31,22674077878,0.10330386226151601,0.13555996532495002,0.023061677113507,10,46.2,10.9,4.86,4.6108565,6.73,3.61,,6.54,3514000000,242345,11,318769547,2018-08-31,4233272,1.73,2.5700000000000003,8.5893,75,60.42,0.08589285796069501,0.585942568946027,1.022151844755141,0.057113558339649005
AA,940000000,,14.2857,0.58538,1119000000,Alcoa Corporation,1.33,47.7512,-0.0013956734124210002,43.1936,0.003271792474877,1401000000,0,0,0,186017718,1418000000,,80.6,1.16,2017-12-31,8005287607,0.026296916088931,-0.051689860834990005,-0.07617817947062601,5,0,0,1.58,0.6207032,4.7,0.84,,2.56,6138000000,420411,33,186473040,2018-08-31,8470942,2.47,4.05,-9.6211,62.35,40.03,-0.09621052631578901,0.9148679932022851,0.9148679932022851,-0.22185970636215302
AAAU,0,,0,0,0,Perth Mint Physical Gold,0,,0.027257240204429004,,0.010896898575021002,0,0,0,0,100000,0,,,0,0,1206000,0.01344537815126,0.027257240204429004,0.027257240204429004,0,0,0,,,,,,,0,NaN,0,100000,0,0,,0,0,12.13,11.7394,0.027257240204429004,0.027257240204429004,0.027257240204429004,0.027257240204429004
AABA,0,,0,1.8039779999999999,0,Altaba Inc.,0,73.4091,-0.030358916158320003,70.229,0.008856088560885001,0,0,0,0,588918384,0,,67,22.63,2017-12-31,41386485197,-0.013138896910193001,-0.15731722352360902,-0.13557607183508202,0,0,0,0.65,1.8383159999999998,95.27,24.1,,32.69,0,0,0,605508196,2018-08-31,24719649,1.63,0,2.1369002,82.45,62.802,0.021368798565451003,0.5973358261275991,1.258757435558492,-0.065363052099001
AAC,9890000,,-50,1.258707,16412000,AAC Holdings Inc.,0.18,9.8724,-0.22678185745140303,9.0492,-0.025850340136054,227006000,0,0,0,9509214,0,,47.5,-0.88,2017-12-31,176112193,-0.268641470888661,-0.30078125,-0.435331230283911,2,0,0,1.07,0.5096372,-8.43,-4.58,,-13.04,80424000,38297,3,24596675,2018-08-31,2190703,8.31,0.44,-33.333298,12.96,6.72,-0.33333333333333304,-0.5817757009345791,-0.612972972972972,-0.227615965480043
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,57.03335,-0.021236263994069002,52.35834,0.019151846785225003,0,0.73204,1.40372,2018-06-25 00:00:00.0,3650000,0,,,0,0,190347500,0.012110390870628,-0.07717898126929901,-0.134116475032169,0,0,0,2.96,,,2.66,,10.95,0,NaN,0,3650000,2013-01-15,2867,1.0166667,0,-5.1010003,64,47.31,-0.051010678177067004,0.33498531900133305,0.5051286935540661,-0.13052756886171601
AAL,2802000000,,2.5157,1.098949,10834000000,American Airlines Group Inc.,1.5899999999999999,45.99642,0.10469409282700401,38.86962,0.054101660795168004,49749000000,0.4,0.95488185,2018-08-06 00:00:00.0,449506141,12416000000,,77.9,4.25,2017-12-31,19290731058,0.047511877969492,-0.000729951384283,-0.23901808081413603,8,0,0,6.19,0.48536062,4.08,2.74,,100.19,21478000000,163207,47,460509216,2018-08-31,26090365,4.69,4.75,-6.9334,59.08,35.64,-0.06933447083811001,0.21335882284787303,1.312129156892507,-0.204029824654743
AAMC,0,,0,1.36466,0,Altisource Asset Management Corp Com,0,66.88631,-0.118283852280955,63.53338,-0.006016228306476,0,0,0,0,1460558,0,9.5,39.6,-4.57,2017-12-31,98219789,-0.045097227319637,-0.13025,0.0013569078947360002,0,0,0,335.5,6.0323725,-56.7,-16.76,,2.9699999999999998,0,0,0,1613268,2018-08-31,36946,48.11,0,-30.8153,93.8,55,-0.30815340909090905,3.122037914691943,-0.8397828947368421,-0.21895445798588803
AAME,0,,0,0.540064,0,Atlantic American Corporation,0,3.03083,0.1,2.6505,-0.051724137931034,0,0.02,0.72727275,2018-04-12 00:00:00.0,16384957,0,19.1,5,0.2,2017-12-31,55686078,0.07843137254901901,0.12244897959183601,-0.148633169251726,0,38.7,6.7,0.5,0.31983435,0.79,0.31,,1.01,0,0,0,20249483,2018-08-31,555,0.23,0,-16.1534,4,2.2,-0.161534239892676,-0.17479369842460601,-0.29624321834374,-0.148633169251726
AAN,871337000,,10.526299999999999,0.026497999999999997,220568000,Aaron's Inc.,0.76,44.02607,0.10970110405642901,48.12191,0.016854341554246,0,0.12,0.22607385,2018-09-19 00:00:00.0,65734751,1597810000,,99.4,4.06,2017-12-31,3852456217,0.073585508618213,0.179442853238468,0.118644139236211,6,0,10.7,2.06,1.0471014,8.04,11.24,,17.68,1723510000,144833,24,72578301,2018-08-31,2923824,5.77,2.73,35.7047,53.43,34.29,0.35704844519779205,1.134890661261065,1.00451658220104,0.347362008351207
AAOI,23161000,,55.8824,2.499873,70966000,Applied Optoelectronics Inc.,0.34,35.86265,-0.180299251870324,39.2958,-0.038607780052646,41009000,0,0,0,18338563,39372000,,64.8,3.66,2017-12-31,647473129,-0.183759622547802,-0.22016607354685602,0.23247094113235803,5,0,0,1.79,1.9086173999999998,10.58,7.93,,10.73,88879000,29102,5,19697996,2018-08-31,6797303,5.7,2.47,-48.6085,66.23,22.54,-0.48608505315822303,0.546095954844778,2.3002008032128503,-0.13294645212345002
AAON,26369000,,10,0.8627969999999999,34857000,AAON Inc.,0.2,35.77595,0.024173027989821003,38.961,0.0012437810945270002,0,0.32,0.7950311,2018-06-07 00:00:00.0,40403765,35658000,,75.7,1.03,2017-12-31,2103656791,-0.045077105575326,0.19613670133729502,0.030534546590402,1,0,14.8,8.57,5.030505,11.27,15.18,,20.14,113668000,57091,2,52264765,2018-08-31,4552455,24.16,0.8,21.3606,43.3,29.05,0.21360686976867602,0.43963889206821505,1.401135841650311,0.09468405106531101
AAP,214867000,,6.4865,1.1864029999999999,363302000,Advance Auto Parts Inc W/I,1.85,125.85868,0.14764207104889202,154.08662,0.025143991767407003,0,0.24,0.14155117,2018-09-20 00:00:00.0,70738992,947708000,,88.6,6.42,2017-12-31,12560477294,0.05452625307013,0.21933854389906401,0.48596549194616306,10,0,12.7,3.43,1.333345,5.61,6.13,,15.61,2182233000,30736,29,74081258,2018-08-31,2598026,2.46,6.27,79.4012,170.91,78.81,0.794012832667434,0.16705109488046202,1.143741299545964,0.600260496547949
