symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,1130000000,,13.7931,1.310889,10517000000,Agilent Technologies Inc.,0.58,66.73216,0.007766549,67.50179,0.022151419,8280000000,0.596,0.88466674,00:00.0,318782083,2508000000,,91.1,2.1,2017-10-31,21725247127,0.033440712,0.037976985,-0.006462345,10,46.2,10.9,4.81,6.184319,0.95,2.21,,4.14,4616000000,334493,14,322476579,2018-04-13,4587637,1.8290234,2.5,20.6681,75,55.6,0.206681617,0.661659736,1.29375915,-0.00117866
AA,1392000000,,28.3333,1.03135,2073000000,Alcoa Corporation,0.6,46.7277,0.197327394,49.7872,0.013001696,2838000000,0,0,0,183799102,1968000000,,88.4,1.16,2017-12-31,9903954332,0.062030818,0.169204002,0.171497058,5,0,0,2.22,0.83142984,4.21,0.75,,2.28,8997000000,616233,49,184225341,2018-04-13,6979299,1.8633422,3.15,73.3075,62.35,29.55,0.733075435,1.397933923,1.397933923,-0.025557368
AABA,0,,0,1.955397,0,Altaba Inc.,0,69.74585,0.041215939,72.973,0.083036604,0,0,0,0,793300744,0,,78,-0.22,2016-12-31,61584173841,0.111046172,0.099638467,0.068577853,0,0,0,1.72,,,-0.03,,-0.05,0,0,0,809891818,2018-04-13,25971974,3.976113,0,55.660202,80.56,47.74,0.556601842,1.045185584,1.897865854,0.039792151
AAC,20887000,,30,1.33838,27205000,AAC Holdings Inc.,0.1,9.57275,0.004306632,11.373,-0.040329218,439976000,0,0,0,9960084,0,,64.9,-0.88,2017-12-31,287002668,0.021910605,0.462986198,0.04950495,2,0,0,1.9,0.90232575,-7.87,-4.24,,-11.85,158466000,75460,6,24614294,2018-04-13,2215397,19.971127,0.61,62.621998,13.0551,5.99,0.626220363,-0.458430098,-0.36972973,0.257820928
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,57.06884,-0.010512997,59.22672,-0.005892425,0,0.5975867,1.0396554,00:00.0,4475000,0,,,0,0,257219868,-0.007608771,0.015427693,0.002280792,0,0,0,2.63,,,6.1,,18.1,0,NaN,0,4475000,2013-01-15,2867,1.0166667,0,21.3424,64,45.8121,0.21342425,0.535381246,0.695034562,-0.046540599
AAL,4755000000,,1.3514,1.405437,17720000000,American Airlines Group Inc.,0.74,49.60928,-0.153229935,49.59083,0.020371842,74608000000,0.4,0.9302326,00:00.0,456920463,19150000000,,81.8,4.13,2017-12-31,20130563907,-0.134874999,-0.113157037,-0.066682294,9,0,0,6.19,0.5185811,6.01,3.49,,46.56,32583000000,253367,70,468152649,2018-04-13,24087333,5.0620027,5.04,-3.2951999,59.08,40.65,-0.032951612,0.329581646,1.568805147,-0.185064314
AAMC,0,,0,1.916187,0,Altisource Asset Management Corp Com,0,76.38356,0.11774744,63.04007,0.025841817,0,0,0,0,1459266,0,9.5,41.7,-4.57,2017-12-31,105518011,0.05390185,-0.059583632,-0.191358025,0,0,0,335.5,8.024794,-42.98,-11.38,,1.62,0,0,0,1610962,2018-04-13,42635,44.73767,0,-11.6655,116,55,-0.116655428,2.740719589,-0.747979992,-0.159717768
AAME,0,,0,0.528771,0,Atlantic American Corporation,0,3.37738,-0.024797994,3.26146,-0.045454545,0,0.02,0.63492066,00:00.0,16535920,0,18.9,4.9,0.2,2017-12-31,64261405,-0.039575584,0.022395326,-0.081338038,0,38.7,6.7,0.57,0.46521723,3.46,1.25,,3.78,0,0,0,20400446,2018-04-13,15124,10.756757,0,-16.5947,4,3,-0.165938518,-0.223066298,-0.052859462,-0.024797994
AAN,1298944000,,-14.7368,0.075828,503155000,Aaron's Inc.,0.95,42.11914,-0.134081902,45.81956,-0.036265621,0,0.12,0.3051106,00:00.0,65449101,2347696000,,,4.06,2017-12-31,2854504578,-0.146854664,0.023003933,0.094381729,7,0,0,1.62,0.84783864,9.67,10.31,,17.12,2539154000,213374,35,72578301,2018-04-13,3983913,6.0058208,2.57,9.252,49.77,34.025,0.092521243,0.547170405,0.395457755,-0.002915452
AAOI,90231000,,0,2.557196,205547000,Applied Optoelectronics Inc.,0.23,44.55035,0.42804878,28.4968,0.142439024,96928000,0,0,0,18219384,134126000,,69.8,3.66,2017-12-31,686366532,0.442118227,0.096099844,-0.195004583,4,0,0,1.97,2.2972512,18.86,18.02,,24.96,302474000,99042,15,19537903,2018-04-13,14513825,11.988981,4.22,-38.7872,103.41,22.54,-0.387872452,2.423976608,2.527108434,-0.073331575
AAON,49671000,,-66.6667,0.731813,81141000,AAON Inc.,0.24,34.9286,-0.197368421,35.999,-0.097633136,0,0.26,0.852459,00:00.0,40531983,67336000,,76.2,1.03,2017-12-31,1597048046,-0.105571848,-0.077155825,-0.110159354,1,0,0,6.49,3.8037384,11.73,15.81,,20.03,214994000,107983,4,52362231,2018-04-13,3170763,14.157909,0.84,-16.7485,40.25,29.05,-0.167485533,0.114232586,1.36928168,-0.174560217
