symbol,EBITDA,EPSSurpriseDollar,EPSSurprisePercent,beta,cash,companyName,consensusEPS,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debt,dividendRate,dividendYield,exDividendDate,float,grossProfit,insiderPercent,institutionPercent,latestEPS,latestEPSDate,marketcap,month1ChangePercent,month3ChangePercent,month6ChangePercent,numberOfEstimates,peRatioHigh,peRatioLow,priceToBook,priceToSales,profitMargin,returnOnAssets,returnOnCapital,returnOnEquity,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,shortDate,shortInterest,shortRatio,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
A,865000000,,0,1.331032,8128000000,Agilent Technologies Inc.,0.65,66.84605,0.032353814188186,66.0332,0.003317467185922,6237000000,0.596,0.85681427,2018-07-02 00:00:00.0,315024508,1916000000,,79.5,2.1,2017-10-31,22173609689,0.07895145028695501,0.09773225811542201,0.007839881539694001,10,46.2,10.9,4.86,4.5690966,6.73,3.61,,6.54,3514000000,242345,11,318769547,2018-08-31,4233272,1.73,2.5700000000000003,6.0641,75,60.42,0.060640714819389006,0.577159752044004,0.95931519736805,0.033780670857669004
AA,940000000,,14.2857,0.652027,1119000000,Alcoa Corporation,1.33,47.74475,-0.024485125858123003,43.2962,0.020588939430213,1401000000,0,0,0,186017718,1418000000,,80.6,1.16,2017-12-31,7949345695,0.019125029882859003,-0.041376208680008006,-0.080457290767903,5,0,0,1.58,0.6278376999999999,4.7,0.84,,2.56,6138000000,420411,33,186473040,2018-08-31,8470942,2.47,4.05,-7.7272997,62.35,40.03,-0.07727272727272701,0.9014866655069511,0.9014866655069511,-0.22729744426318602
AAAU,0,,0,0,0,Perth Mint Physical Gold,0,,0.024701873935263,,0.0016652789342210001,0,0,0,0,100000,0,,,0,0,1203000,0.010924369747899001,0.024701873935263,0.024701873935263,0,0,0,,,,,,,0,NaN,0,100000,0,0,,0,0,12.13,11.7394,0.024701873935263,0.024701873935263,0.024701873935263,0.024701873935263
AABA,0,,0,1.810433,0,Altaba Inc.,0,73.41785,-0.05493731511480401,70.3372,-0.013092085907619,0,0,0,0,588918384,0,,67,22.63,2017-12-31,40623544870,-0.031331215708922,-0.163153299239116,-0.138103802672148,0,0,0,0.65,1.7805005,95.27,24.1,,32.69,0,0,0,605508196,2018-08-31,24719649,1.63,0,-0.50420004,82.45,62.802,-0.005042266053685,0.55336883537856,1.169442198868229,-0.082592643238069
AAC,9890000,,-50,1.304173,16412000,AAC Holdings Inc.,0.18,9.881450000000001,-0.22945205479452002,9.1076,-0.102393617021276,227006000,0,0,0,9509214,0,,47.5,-0.88,2017-12-31,166027556,-0.310520939734422,-0.318181818181818,-0.452998379254457,2,0,0,1.07,0.54663306,-8.43,-4.58,,-13.04,80424000,38297,3,24596675,2018-08-31,2190703,8.31,0.44,-33.823498,12.96,6.72,-0.338235294117647,-0.620359955005624,-0.6351351351351351,-0.271844660194174
AADR,0,,0,1.106962,0,AdvisorShares Dorsey Wright ADR,0,57.04831,-0.027788279773156004,52.38174,0.009024916617618001,0,0.73204,1.4233715999999998,2018-06-25 00:00:00.0,3700000,0,,,0,0,190291000,-0.0018631370570190002,-0.084763075893659,-0.142104121836894,0,0,0,2.96,,,2.66,,10.95,0,NaN,0,3700000,2013-01-15,2867,1.0166667,0,-6.7313,64,47.31,-0.067312034268076,0.33848287923464604,0.483517751445153,-0.142531790346271
AAL,2802000000,,2.5157,1.095953,10834000000,American Airlines Group Inc.,1.5899999999999999,46.0303,0.08389786347055701,38.74915,0.05369807497467,49749000000,0.4,0.96153843,2018-08-06 00:00:00.0,449506141,12416000000,,77.9,4.25,2017-12-31,19157183386,0.040260065016254,0.004784804562109,-0.23460047432691702,8,0,0,6.19,0.4759101,4.08,2.74,,100.19,21478000000,163207,47,460509216,2018-08-31,26090365,4.69,4.75,-5.4119,59.08,35.64,-0.054119808459261,0.19510008963250602,1.292478356469363,-0.20954024124223702
AAMC,0,,0,1.364218,0,Altisource Asset Management Corp Com,0,66.9414,-0.042735042735042,63.63673,-0.001620745542949,0,0,0,0,1460558,0,9.5,39.6,-4.57,2017-12-31,99377309,-0.033843702260743,-0.11684587813620001,0.009009009009009,0,0,0,335.5,6.0225797,-56.7,-16.76,,2.9699999999999998,0,0,0,1613268,2018-08-31,36946,48.11,0,-37.1429,97,55,-0.37142857142857105,3.260027662517289,-0.8314222380339891,-0.20974983964079502
AAME,0,,0,0.5298039999999999,0,Atlantic American Corporation,0,3.03547,0.159999999999999,2.6445,-0.033333333333333,0,0.02,0.6896552,2018-04-12 00:00:00.0,16384957,0,19.1,5,0.2,2017-12-31,58723501,0.13725490196078402,0.208333333333333,-0.10219497848363801,0,38.7,6.7,0.5,0.32534873000000003,0.79,0.31,,1.01,0,0,0,20249483,2018-08-31,555,0.23,0,-10.2197,4,2.2,-0.10219497848363801,-0.097669498117551,-0.259694177111786,-0.10219497848363801
AAN,871337000,,10.526299999999999,0.020908,220568000,Aaron's Inc.,0.76,43.95609,0.09954952096948101,47.9466,0.014425168826962001,0,0.12,0.23081362,2018-09-19 00:00:00.0,65734751,1597810000,,99.4,4.06,2017-12-31,3773345869,0.051539385701976005,0.15650783128643903,0.10030115955954001,6,0,10.7,2.06,1.0567688,8.04,11.24,,17.68,1723510000,144833,24,72578301,2018-08-31,2923824,5.77,2.73,32.478897,53,34.29,0.32478850270104903,1.091050593047528,0.9240092222176991,0.319693873665774
