symbol,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
A,2450512,close,0.59,0.008570000000000001,69.45,1526068943718,Agilent Technologies Inc.,69.45,1526068943718,69.6,0,0,0,0,1526068799350,0.0378,69.46,100,44971,69.45,Close,"May 11, 2018",1526068943718,1189709,68.91,22395998412,69.19,1526045400011,27.78,68.86,New York Stock Exchange,Healthcare,75,55.6,0.020911941526623002
AA,5056524,close,0.17,0.00316,53.96,1526068832963,Alcoa Corporation,53.96,1526068832963,54.25,0,0,0,0,1526068780116,0.03452,53.96,100,87407,53.96,Close,"May 11, 2018",1526068832963,2532068,53.37,9940799400,53.79,1526045401002,17.13,53.79,New York Stock Exchange,Basic Materials,62.35,29.55,-0.025013594344752
AABA,7108052,close,-0.23,-0.00303,75.67,1526068800372,Altaba Inc.,75.67,1526068800372,76.36,0,0,0,0,1526068793681,0.041940000000000005,75.65,69,88220,75.67,Close,"May 11, 2018",1526068800372,2103481,75.3,61284513868,75.8,1526045400606,,75.9,Nasdaq Global Select,Financial Services,80.56,47.74,0.037877751948584004
AAC,114862,close,0.45,0.038990000000000004,11.99,1526068991175,AAC Holdings Inc.,11.99,1526068991175,12.3,0,0,0,0,1526067848669,0.027940000000000003,11.86,100,4811,11.99,Close,"May 11, 2018",1526068991175,172190,11.66,295125385,11.66,1526045541948,19.66,11.54,New York Stock Exchange,Healthcare,13.0551,5.99,0.24487594390507003
AADR,28661,close,-0.48,-0.00816,58.32,1526068800259,AdvisorShares Dorsey Wright ADR,58.32,1526069400000,59.169,0,0,0,0,1526056124185,0.010110000000000001,58.3,50,328,58.32,Close,"May 11, 2018",1526068800259,32443,58.27,260982000,58.96,1526045400113,,58.8,NYSE Arca,,64,45.8121,-0.02463299328191
AAL,6496810,close,0.56,0.01332,42.6,1526068800255,American Airlines Group Inc.,42.6,1526068800255,42.66,0,0,0,0,1526068796071,0.019100000000000002,42.58,100,105374,42.6,Close,"May 11, 2018",1526068800255,5516963,42.02,19943302847,42.08,1526045400624,8.45,42.04,Nasdaq Global Select,Industrials,59.08,40.65,-0.20325822658623402
AAMC,1620,close,-1.25,-0.019280000000000002,63.6,1526068800031,Altisource Asset Management Corp Com,63.6,1526069400000,65.4,0,0,0,0,0,0,0,0,0,63.6,Close,"May 11, 2018",1526068800031,201,63.6,102507109,65.4,1526045400024,,64.85,NYSE American,Financial Services,116,55,-0.16805644644002501
AAME,1617,close,-0.1,-0.032260000000000004,3,1526068800126,Atlantic American Corporation,3,1526068800126,3,0,0,0,0,1526063924978,0.006580000000000001,2.9,100,200,3,Close,"May 11, 2018",1526068800126,30395,2.85,61201338,3,1526053411305,,3.1,NASDAQ Global Market,Financial Services,4,3,-0.040277390792854
AAN,857968,close,0.49,0.01225,40.49,1526068922046,Aaron's Inc.,40.49,1526068922046,40.68,0,0,0,0,1526068797320,0.034710000000000005,40.455,100,19131,40.49,Close,"May 11, 2018",1526068922046,551167,39.82,2938695407,40,1526045401002,15.75,40,New York Stock Exchange,Industrials,49.77,34.025,0.014070224363037
AAOI,1439770,close,-0.31,-0.00966,31.78,1526068800234,Applied Optoelectronics Inc.,31.78,1526068800234,32.47,0,0,0,0,1526068504005,0.018090000000000002,31.8,100,10200,31.78,Close,"May 11, 2018",1526068800234,563847,31.61,622221033,32.09,1526045400641,9.43,32.09,NASDAQ Global Market,Technology,103.41,22.54,-0.153521498285412
AAON,220743,close,-0.15,-0.005050000000000001,29.55,1526068800469,AAON Inc.,29.55,1526068800469,29.9,0,0,0,0,1526068787343,0.039760000000000004,29.525,22,2788,29.55,Close,"May 11, 2018",1526068800469,70121,29.35,1547303926,29.8,1526045400271,35.18,29.7,Nasdaq Global Select,Basic Materials,40.25,29.05,-0.19621109607577802
AAP,1072032,close,1.71,0.01446,119.94,1526068920776,Advance Auto Parts Inc W/I,119.94,1526068920776,122.3,0,0,0,0,1526068770147,0.02756,119.87,9,33933,119.94,Close,"May 11, 2018",1526068920776,1231241,117.59,8876417091,118.31,1526045401007,22.29,118.23,New York Stock Exchange,Consumer Cyclical,151.72,78.81,0.11501234973079501
AAPL,34569323,close,-0.7201000000000001,-0.0038,188.59,1526068800403,Apple Inc.,188.59,1526068800403,190.06,0,0,0,0,1526068799048,0.029400000000000003,188.51,100,649303,188.59,Close,"May 11, 2018",1526068800403,22085136,187.45,926945875420,189.55,1526045400658,19.38,189.3101,Nasdaq Global Select,Technology,190.37,142.2,0.10771467775297401
AAT,290778,close,0,0,35.25,1526068922016,American Assets Trust Inc.,35.25,1526068922016,35.42,0,0,0,0,1526068568120,0.036980000000000006,35.23,78,6838,35.25,Close,"May 11, 2018",1526068922016,184911,35.1,1663922811,35.26,1526045401001,17.8,35.25,New York Stock Exchange,Real Estate,41.69,30.62,-0.06867006084688901
AAU,137114,close,-0.054,-0.06459000000000001,0.782,1526068800062,Almaden Minerals Ltd.,0.782,1526069400000,0.838,0,0,0,0,1526067922237,0.0006900000000000001,0.7794000000000001,300,300,0.782,Close,"May 11, 2018",1526068800062,434783,0.773,79920107,0.838,1526045400018,,0.836,NYSE American,Basic Materials,1.53,0.713,-0.188349514563106
AAV,334126,close,-0.15,-0.050850000000000006,2.8,1526068922015,Advantage Oil & Gas Ltd,2.8,1526068922015,2.94,0,0,0,0,1526061987507,0.0014500000000000001,2.875,400,400,2.8,Close,"May 11, 2018",1526068922015,275862,2.8,520696921,2.9,1526045401001,20,2.95,New York Stock Exchange,Energy,7.35,2.7,-0.34444444444444405
AAWW,233627,close,-0.4,-0.005840000000000001,68.05,1526068800124,Atlas Air Worldwide Holdings,68.05,1526068800193,69.2,0,0,0,0,1526068770181,0.03054,68,70,3218,68.05,Close,"May 11, 2018",1526068800124,105370,67.25,1739480354,68.6,1526045400395,12.46,68.45,Nasdaq Global Select,Industrials,69.33,45.45,0.181190681622087
