symbol,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
A,2456741,tops,0.765,0.01136,67.37,1.52581E+12,Agilent Technologies Inc.,68.105,1.5259E+12,68.41,0,0,0,0,1.5259E+12,0.05407,68.135,100,80420,68.135,IEX real time price,3:59:54 PM,1.5259E+12,1487331,67.15,21971941710,67.38,1.52587E+12,27.25,67.37,New York Stock Exchange,Healthcare,75,55.6,-0.00117866
AA,5016346,tops,-0.26,-0.00484,53.76,1.52581E+12,Alcoa Corporation,53.44,1.5259E+12,54.13,0,0,0,0,1.5259E+12,0.0166,53.5,100,51287,53.5,IEX real time price,3:59:59 PM,1.5259E+12,3089578,53.18,9856055744,53.72,1.52587E+12,16.98,53.76,New York Stock Exchange,Basic Materials,62.35,29.55,-0.025557368
AABA,7305703,tops,-0.18,-0.00237,76.04,1.52581E+12,Altaba Inc.,76.05,1.5259E+12,76.81,0,0,0,0,1.5259E+12,0.04098,75.86,100,118262,75.86,IEX real time price,3:59:46 PM,1.5259E+12,2885847,75.8,61438393313,76.12,1.52587E+12,,76.04,Nasdaq Global Select,Financial Services,80.56,47.74,0.039792151
AAC,112259,tops,-0.2,-0.01715,11.66,1.52581E+12,AAC Holdings Inc.,11.45,1.5259E+12,11.89,0,0,0,0,1.5259E+12,0.03065,11.46,200,5003,11.46,IEX real time price,3:58:50 PM,1.5259E+12,163230,11.07,282079809,11.89,1.52587E+12,18.79,11.66,New York Stock Exchange,Healthcare,13.0551,5.99,0.257820928
AADR,29531,sip,0.3307,0.00575,57.479,1.52581E+12,AdvisorShares Dorsey Wright ADR,57.81,1.5259E+12,57.978,0,0,0,0,0,0,0,0,0,57.81,15 minute delayed price,3:49:43 PM,1.5259E+12,11879,57.54,258699750,57.64,1.52587E+12,,57.4793,NYSE Arca,,64,45.8121,-0.046540599
AAL,6193561,tops,-1.52,-0.03535,43,1.52581E+12,American Airlines Group Inc.,41.495,1.5259E+12,43.16,0,0,0,0,1.5259E+12,0.04582,41.48,100,350004,41.48,IEX real time price,3:59:55 PM,1.5259E+12,7638673,41.47,19418971881,42.93,1.52587E+12,8.23,43,Nasdaq Global Select,Industrials,59.08,40.65,-0.185064314
AAMC,1820,sip,0.5,0.00763,65.5,1.52572E+12,Altisource Asset Management Corp Com,66,1.5259E+12,,0,0,0,0,0,0,0,0,0,66,15 minute delayed price,3:44:58 PM,1.5259E+12,126,,106323492,67,1.52587E+12,,65.5,NYSE American,Financial Services,116,55,-0.159717768
AAME,1547,sip,-0.05,-0.01587,3.15,1.52581E+12,Atlantic American Corporation,3.1,1.52589E+12,3.1,0,0,0,0,0,0,0,0,0,3.1,15 minute delayed price,3:29:06 PM,1.52589E+12,4335,3.1,63241383,3.1,1.52587E+12,,3.15,NASDAQ Global Market,Financial Services,4,3,-0.024797994
AAN,830083,tops,0.45,0.01144,39.33,1.52581E+12,Aaron's Inc.,39.785,1.5259E+12,39.89,0,0,0,0,1.5259E+12,0.01972,39.78,100,24253,39.78,IEX real time price,3:59:39 PM,1.5259E+12,1229868,38.77,2887164814,39.57,1.52587E+12,15.48,39.33,New York Stock Exchange,Industrials,49.77,34.025,-0.002915452
AAOI,1356855,tops,-2.79,-0.07942,35.13,1.52581E+12,Applied Optoelectronics Inc.,32.3,1.5259E+12,32.63,0,0,0,0,1.5259E+12,0.01328,32.34,100,38698,32.34,IEX real time price,3:59:30 PM,1.5259E+12,2914006,30.66,631855783,31.6,1.52587E+12,7.66,35.13,NASDAQ Global Market,Technology,103.41,22.54,-0.073331575
