symbol,askPrice,askSize,avgTotalVolume,bidPrice,bidSize,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,primaryExchange,sector,week52High,week52Low,ytdChange
AAOI,,,1072375,,,close,-0.15,-0.004560000000000001,32.72,1537560000010,Applied Optoelectronics Inc.,32.72,1537560000191,0,0,32.72,1537562485000,33.09,,,,,,,,,,32.72,Close,"September 21, 2018",1537560000010,840785,32.497,644518429,32.85,1537536600096,13.25,32.87,NASDAQ Global Market,Technology,66.23,22.54,-0.141463191769981
AAON,,,159974,,,close,-0.4,-0.009940000000000001,39.85,1537560000267,AAON Inc.,39.85,1537560000267,0,0,39.85,1537562465100,40.6,,,,,,,,,,39.85,Close,"September 21, 2018",1537560000267,308222,39.8,2082750885,40.4,1537536600163,49.81,40.25,Nasdaq Global Select,Basic Materials,43.3,29.05,0.07386520335286001
AAP,,,1156428,,,close,-1.11,-0.00655,168.44,1537560153849,Advance Auto Parts Inc W/I,168.44,1537560153849,0,0,168.44,1537561191947,171.33,,,,,,,,,,168.44,Close,"September 21, 2018",1537560153849,1603061,168.195,12478247098,170.82,1537536601009,26.86,169.55,New York Stock Exchange,Consumer Cyclical,171.33,78.81,0.583234004945659
AAPL,,,32935003,,,close,-2.37,-0.01077,217.66,1537560000016,Apple Inc.,217.66,1537560000208,0.06,0.00028000000000000003,217.72,1537563595131,221.36,,,,,,,,,,217.66,Close,"September 21, 2018",1537560000016,95316912,217.29,1051281693160,221,1537536600368,21.01,220.03,Nasdaq Global Select,Technology,229.67,149.16,0.26729595492066505
AAT,,,209266,,,close,-0.02,-0.0005300000000000001,37.59,1537560391792,American Assets Trust Inc.,37.59,1537560391792,0,0,37.59,1537562465110,37.83,,,,,,,,,,37.59,Close,"September 21, 2018",1537560391792,1232283,37.48,1775079528,37.56,1537536601005,18.16,37.61,New York Stock Exchange,Real Estate,41.69,30.62,0.006801896967553
AAU,,,150920,,,close,0.0026000000000000003,0.0041400000000000005,0.63,1537560000131,Almaden Minerals Ltd.,0.63,1537560600003,0,0,0.63,1537536600087,0.63,,,,,,,,,,0.63,Close,"September 21, 2018",1537560000131,90405,0.6104,70332964,0.6245,1537536600025,,0.6274000000000001,NYSE American,Basic Materials,1.24,0.56,-0.38420951456310604
AAV,,,125539,,,close,0,0,2.5,1537560121106,Advantage Oil & Gas Ltd,2.5,1537560121106,0,0,2.5,1537474005254,2.55,,,,,,,,,,2.5,Close,"September 21, 2018",1537560121106,64411,2.45,464855353,2.5,1537536601004,35.71,2.5,New York Stock Exchange,Energy,6.7,2.3663,-0.44444444444444403
AAWW,,,238503,,,close,-1.2,-0.018590000000000002,63.35,1537560000644,Atlas Air Worldwide Holdings,63.35,1537560000644,0,0,63.35,1537562465114,64.85,,,,,,,,,,63.35,Close,"September 21, 2018",1537560000644,373273,63.3,1620178847,64.75,1537536600522,10.35,64.55,Nasdaq Global Select,Industrials,75.2911,50.65,0.07459377911993001
AAXJ,,,1035726,,,close,0.32,0.00451,71.27,1537560000827,iShares MSCI All Country Asia ex Japan Index Fund,71.27,1537560000827,-0.32,-0.00449,70.95,1537534920473,71.42,,,,,,,,,,71.27,Close,"September 21, 2018",1537560000827,1137312,71.1,4019628000,71.2,1537536600646,,70.95,NASDAQ Global Market,,83.52,67.22,-0.075348757609207
AAXN,,,572840,,,close,-0.67,-0.01024,64.79,1537560000179,Axon Enterprise Inc.,64.79,1537560000185,0,0,64.79,1537563440436,66.58,,,,,,,,,,64.79,Close,"September 21, 2018",1537560000179,1305584,64.371,3778533039,65.65,1537536600747,122.25,65.46,Nasdaq Global Select,Industrials,76.4544,20.57,1.43006131826742
AB,,,236329,,,close,-0.15,-0.00489,30.5,1537560120760,AllianceBernstein Holding L.P. Units,30.5,1537560120760,-0.05,-0.0016400000000000002,30.45,1537450195004,30.811,,,,,,,,,,30.5,Close,"September 21, 2018",1537560120760,129310,30.45,2986829010,30.7,1537536601002,11.3,30.65,New York Stock Exchange,Financial Services,31.2347,23.8,0.306610786900472
ABAC,,,140529,,,close,0.06,0.027270000000000003,2.26,1537560000851,Renmin Tianli Group Inc.,2.26,1537560000851,0.04,0.0177,2.3,1537275976667,2.26,,,,,,,,,,2.26,Close,"September 21, 2018",1537560000851,4355,2.19,18043264,2.19,1537538945622,,2.2,NASDAQ Capital Market,Consumer Defensive,4.76,1.5,-0.16269415770609302
ABB,,,2299209,,,close,-0.01,-0.00041000000000000005,24.31,1537560095659,ABB Ltd,24.31,1537560095659,0.01,0.00041000000000000005,24.32,1537560687144,24.45,,,,,,,,,,24.31,Close,"September 21, 2018",1537560095659,1616134,24.3,51823472275,24.44,1537536601023,18.01,24.32,New York Stock Exchange,Industrials,28.67,21.2155,-0.068481778790678
ABBV,,,4864410,,,close,-0.42,-0.00453,92.26,1537560151478,AbbVie Inc.,92.26,1537560151478,-0.14,-0.00152,92.12,1537563595857,93.33,,,,,,,,,,92.26,Close,"September 21, 2018",1537560151478,9811463,92.05,139706799117,92.85,1537536681790,13.65,92.68,New York Stock Exchange,Healthcare,125.86,83.19,-0.040774759985667
ABC,,,1136670,,,close,-0.93,-0.01021,90.13,1537560008863,AmerisourceBergen Corporation,90.13,1537560008863,0,0,90.13,1537561034948,91.7,,,,,,,,,,90.13,Close,"September 21, 2018",1537560008863,1810171,89.62,19500224324,91.16,1537536608132,14.42,91.06,New York Stock Exchange,Healthcare,106.27,71.9,-0.039576692189810005
ABCB,,,317994,,,close,-0.75,-0.015260000000000001,48.4,1537560000383,Ameris Bancorp,48.4,1537560000383,0,0,48.4,1537562465704,49.56,,,,,,,,,,48.4,Close,"September 21, 2018",1537560000383,1516921,48.25,2299903241,49.15,1537536600286,17.73,49.15,Nasdaq Global Select,Financial Services,59.05,44.75,-0.014596336702647001
ABCD,,,133967,,,close,-0.12,-0.00986,12.05,1537560000536,Cambium Learning Group Inc.,12.05,1537560000536,0,0,12.05,1537562465838,12.19,,,,,,,,,,12.05,Close,"September 21, 2018",1537560000536,141385,11.72,569448609,12.17,1537536600786,,12.17,NASDAQ Capital Market,Consumer Defensive,13.98,5.19,1.141925714285714
ABDC,,,36946,,,close,-0.02,-0.00319,6.25,1537560000591,Alcentra Capital Corp.,6.25,1537560000591,-0.29,-0.046400000000000004,5.96,1537476893125,6.28,,,,,,,,,,6.25,Close,"September 21, 2018",1537560000591,25555,6.209,84561106,6.23,1537536600265,5.48,6.27,Nasdaq Global Select,Financial Services,11.2399,5.75,-0.23110846819024003
ABEO,,,551937,,,close,-1.375,-0.09821,12.625,1537560000349,Abeona Therapeutics Inc.,12.625,1537560000349,0.115,0.00911,12.74,1537563544542,14.1,,,,,,,,,,12.625,Close,"September 21, 2018",1537560000349,3218030,12.5,605283973,13.95,1537536600731,-16.83,14,NASDAQ Capital Market,Healthcare,22.75,10.5,-0.364198372093023
ABEOW,,,0,,,close,0,0,8.55,1537300800178,,8.6,1537300800178,,,,,8.6,,,,,,,,,,8.55,Close,"September 18, 2018",1537300800178,1,8.55,0,8.6,1537289093037,,8.55,,,8.6,0,-0.28030303030303
ABEV,,,32563303,,,close,0.06,0.012990000000000002,4.68,1537560136373,Ambev S.A. American Depositary Shares (Each representing 1),4.68,1537560136373,0.007,0.0015,4.687,1537563179932,4.75,,,,,,,,,,4.68,Close,"September 21, 2018",1537560136373,31324847,4.61,73569585380,4.61,1537536672584,20.35,4.62,New York Stock Exchange,Consumer Defensive,7.43,4.28,-0.270581122405241
ABG,,,174470,,,close,-0.35000000000000003,-0.0048200000000000005,72.25,1537560226398,Asbury Automotive Group Inc,72.25,1537560226398,0,0,72.25,1537562465901,73,,,,,,,,,,72.25,Close,"September 21, 2018",1537560226398,465417,72,1470496664,72.6,1537536644684,9.9,72.6,New York Stock Exchange,Consumer Cyclical,77.75,54.5138,0.137472490118577
ABIL,,,639151,,,close,0.72,0.19565000000000002,4.4,1537560000430,Ability Inc.,4.4,1537560000430,-0.1,-0.02273,4.3,1537563458342,4.74,,,,,,,,,,4.4,Close,"September 21, 2018",1537560000430,656431,3.5,14540579,3.5,1537536600728,,3.68,NASDAQ Capital Market,Technology,14.55,0.32330000000000003,8.637710085836911
ABIO,,,263918,,,close,-0.013800000000000002,-0.026350000000000002,0.51,1537560000503,ARCA biopharma Inc.,0.51,1537560000503,0.0287,0.05627000000000001,0.5387000000000001,1537562127524,0.55,,,,,,,,,,0.51,Close,"September 21, 2018",1537560000503,539544,0.51,7101151,0.521,1537536600538,,0.5238,NASDAQ Capital Market,Healthcare,2,0.45,-0.6485722222222221
ABM,,,643098,,,close,-0.12,-0.00354,33.76,1537560232134,ABM Industries Incorporated,33.76,1537560232134,0,0,33.76,1537562465923,34.06,,,,,,,,,,33.76,Close,"September 21, 2018",1537560232134,787323,33.58,2223156532,33.87,1537536610228,20.97,33.88,New York Stock Exchange,Industrials,44.7,28.17,-0.09497021694256501
ABMD,,,503138,,,close,2.9,0.00759,384.88,1537560000664,ABIOMED Inc.,384.88,1537560000664,0,0,384.88,1537562470000,386.72,,,,,,,,,,384.88,Close,"September 21, 2018",1537560000664,1551546,380.97,17272321341,381.33,1537536600156,246.72,381.98,Nasdaq Global Select,Healthcare,450.93,158.71,1.007070492493116
ABR,,,1172499,,,close,0.05,0.00432,11.62,1537560020352,Arbor Realty Trust,11.62,1537560020352,0.28,0.0241,11.9,1537562830535,11.72,,,,,,,,,,11.62,Close,"September 21, 2018",1537560020352,2304050,11.56,876041247,11.58,1537536601004,10.96,11.57,New York Stock Exchange,Real Estate,12.35,7.88,0.45146556142273503
ABR-A,,,1262,,,close,0.1348,0.005260000000000001,25.7648,1537560121219,Arbor Realty Trust Preferred Series A,25.58,1537560121219,0.23520000000000002,0.009130000000000001,26,1531398407843,25.765,,,,,,,,,,25.7648,Close,"September 21, 2018",1537560121219,4943,25.58,39974087,25.86,1537363801001,,25.63,New York Stock Exchange,Real Estate,26.3223,24.81,0.089386149249963
ABR-B,,,1700,,,close,0.056400000000000006,0.00221,25.5728,1537300981722,Arbor Realty Trust Cumulative Redeemable Preferred Series B,25.573,1537560000039,-0.3028,-0.011840000000000002,25.27,1534253368845,25.68,,,,,,,,,,25.5728,Close,"September 18, 2018",1537300981722,500,25.553,32221728,25.7,1536845400003,,25.5164,New York Stock Exchange,Real Estate,25.95,24.59,0.07333101462630001
ABR-C,,,1335,,,close,-0.21,-0.007970000000000001,26.13,1537560181159,Arbor Realty Trust Cumulative Redeemable Preferred Series C,26.021,1537560181159,,,,,26.15,,,,,,,,,,26.13,Close,"September 21, 2018",1537560181159,2512,25.869,0,25.7,1537363801001,,26.34,New York Stock Exchange,Real Estate,26.58,25.51,0.05291411069247701
ABT,,,4602884,,,close,0.26,0.0037800000000000004,69.05,1537560055019,Abbott Laboratories,69.05,1537560055019,0.74,0.01072,69.79,1537563088734,69.25,,,,,,,,,,69.05,Close,"September 21, 2018",1537560055019,9154421,68.88,121135746560,68.96,1537536778334,25.39,68.79,New York Stock Exchange,Healthcare,69.25,51.5,0.194925673407004
ABTX,,,20006,,,close,-0.25,-0.005560000000000001,44.75,1537560000377,Allegiance Bancshares Inc.,44.75,1537560000377,0,0,44.75,1537562466046,45.2,,,,,,,,,,44.75,Close,"September 21, 2018",1537560000377,42148,44.55,598199653,44.95,1537536600256,22.6,45,NASDAQ Global Market,Financial Services,46.85,34.9,0.18301901726427602
ABUS,,,321810,,,close,-0.45,-0.045230000000000006,9.5,1537560000303,Arbutus Biopharma Corporation,9.5,1537560000303,0,0,9.5,1537562466072,9.957,,,,,,,,,,9.5,Close,"September 21, 2018",1537560000303,258461,9.45,526340831,9.9,1537536600439,-5.08,9.95,Nasdaq Global Select,Healthcare,12.6,4.3,0.6978892660550451
ABX,,,13705549,,,close,-0.15,-0.01412,10.47,1537560032233,Barrick Gold Corporation,10.47,1537560032233,0,0,10.47,1537562479000,10.63,,,,,,,,,,10.47,Close,"September 21, 2018",1537560032233,24682829,10.2,12220152238,10.45,1537536672480,17.45,10.62,New York Stock Exchange,Basic Materials,16.835,9.53,-0.32008985244402005
AC,,,8482,,,close,0.85,0.02152,40.35,1537560121007,Associated Capital Group Inc.,40.35,1537560121007,0,0,40.35,1537562464511,40.55,,,,,,,,,,40.35,Close,"September 21, 2018",1537560121007,33876,39.1,927701941,39.45,1537536600009,,39.5,New York Stock Exchange,Financial Services,42.5,33.1,0.20611411137826802
ACAD,,,2614272,,,close,1.06,0.055470000000000005,20.17,1537560000601,ACADIA Pharmaceuticals Inc.,20.17,1537560000601,-0.05,-0.00248,20.12,1537563466635,20.455,,,,,,,,,,20.17,Close,"September 21, 2018",1537560000601,14720467,19.16,2521385603,20.25,1537536600517,-9.94,19.11,Nasdaq Global Select,Healthcare,41.2,12.77,-0.28169726914229304
ACBI,,,56045,,,close,0,0,17.5,1537560000861,Atlantic Capital Bancshares Inc.,17.5,1537560000861,0,0,17.5,1537562465191,17.8,,,,,,,,,,17.5,Close,"September 21, 2018",1537560000861,146690,17.45,456820928,17.45,1537536600529,23.65,17.5,Nasdaq Global Select,Financial Services,21.6,15.2,0.005747126436781
ACC,,,523106,,,close,0.09,0.00215,42.03,1537560304132,American Campus Communities Inc,42.03,1537560304132,0,0,42.03,1537562463225,42.46,,,,,,,,,,42.03,Close,"September 21, 2018",1537560304132,932216,41.55,5759318026,41.82,1537536655358,18.35,41.94,New York Stock Exchange,Real Estate,47.63,34.52,0.063165323252467
ACCO,,,434244,,,close,-0.05,-0.00417,11.95,1537560290059,Acco Brands Corporation,11.95,1537560290059,0,0,11.95,1537562482000,12.125,,,,,,,,,,11.95,Close,"September 21, 2018",1537560290059,1346693,11.85,1248633512,12,1537536653810,9.72,12,New York Stock Exchange,Industrials,14.625,10.9,-0.034698220147165004
ACER,,,63829,,,close,0.06,0.00194,30.94,1537560000755,Acer Therapeutics Inc.,30.94,1537560000755,0,0,30.94,1537561139068,31.99,,,,,,,,,,30.94,Close,"September 21, 2018",1537560000755,110906,30.5,311039449,31.18,1537536600136,-10.71,30.88,NASDAQ Capital Market,Healthcare,34.1,9.49,1.091068966914247
ACES,,,4662,,,close,0.155,0.00591,26.4,1537560000000,ALPS Clean Energy,26.4,1537560000097,-0.46,-0.01742,25.94,1534335565298,26.4,,,,,,,,,,26.4,Close,"September 21, 2018",1537560000000,2992,26.22,0,26.44,1537536600001,,26.245,Cboe Global Markets EDGX,,26.96,24.9188,0.053113490678302004
ACET,,,189750,,,close,0.06,0.020130000000000002,3.04,1537560000526,Aceto Corporation,3.04,1537560000526,0,0,3.04,1537561492324,3.04,,,,,,,,,,3.04,Close,"September 21, 2018",1537560000526,288299,2.96,93595654,2.99,1537536600112,2.58,2.98,Nasdaq Global Select,Healthcare,11.98,2.22,-0.689316802003287
ACGL,,,962124,,,close,-0.02,-0.0006600000000000001,30.2,1537560000754,Arch Capital Group Ltd.,30.2,1537560000754,-0.08,-0.00265,30.12,1537562842577,30.46,,,,,,,,,,30.2,Close,"September 21, 2018",1537560000754,2415466,30,12240044598,30.1,1537536600668,22.54,30.22,Nasdaq Global Select,Financial Services,34.199966,25.70664,0.025388727122001003
ACGLO,,,20908,,,close,0.01,0.00042,23.67,1537560000393,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,23.65,1537560000393,1.16,0.049010000000000005,24.83,1532721967731,23.79,,,,,,,,,,23.67,Close,"September 21, 2018",1537560000393,14137,23.63,0,23.63,1537536600383,,23.66,Nasdaq Global Select,Financial Services,25.99,23.6,-0.015908040261148
ACGLP,,,38935,,,close,0,0,23.3,1537560000190,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,23.3,1537560000190,0.39,0.01674,23.69,1536672480077,23.331,,,,,,,,,,23.3,Close,"September 21, 2018",1537560000190,32052,23.24,0,23.3,1537536600791,,23.3,Nasdaq Global Select,Financial Services,25.25,22.75,-0.022761683869695
ACH,,,64394,,,close,0.38,0.035320000000000004,11.14,1537560121011,Aluminum Corporation of China Limited American Depositary Shares,11.14,1537560121011,0,0,11.14,1537560240513,11.19,,,,,,,,,,11.14,Close,"September 21, 2018",1537560121011,58067,11.08,6641132489,11.14,1537536601001,,10.76,New York Stock Exchange,Basic Materials,23.54,9.2,-0.37526201058201003
ACHC,,,766709,,,close,-0.31,-0.008610000000000001,35.69,1537560000609,Acadia Healthcare Company Inc.,35.69,1537560000609,0,0,35.69,1537561910862,36.23,,,,,,,,,,35.69,Close,"September 21, 2018",1537560000609,2186387,35.445,3150512372,35.93,1537536600731,14.81,36,Nasdaq Global Select,Healthcare,48.349,26.92,0.046994850635906006
ACHN,,,1230412,,,close,-0.03,-0.00847,3.51,1537560000416,Achillion Pharmaceuticals Inc.,3.51,1537560000416,-0.056,-0.015950000000000002,3.454,1537563447522,3.58,,,,,,,,,,3.51,Close,"September 21, 2018",1537560000416,3380605,3.38,486437106,3.51,1537536600463,-6.05,3.54,Nasdaq Global Select,Healthcare,4.82,2.33,0.127452330097087
ACHV,,,80760,,,close,-0.07,-0.027340000000000003,2.49,1537560000349,Achieve Life Sciences Inc.,2.49,1537560000349,-0.02,-0.00803,2.47,1537561775138,2.59,,,,,,,,,,2.49,Close,"September 21, 2018",1537560000349,72579,2.46,11332002,2.5700000000000003,1537536600800,,2.56,NASDAQ Capital Market,Healthcare,38.45,2.3967,-0.8544233333333331
ACIA,,,574229,,,close,-0.43,-0.010690000000000002,39.79,1537560000560,Acacia Communications Inc.,39.79,1537560000560,0,0,39.79,1537563083358,40.65,,,,,,,,,,39.79,Close,"September 21, 2018",1537560000560,864204,39.51,1613492339,40.25,1537536600195,128.35,40.22,Nasdaq Global Select,Technology,48.9,24.72,0.0690929036635
ACIM,,,2355,,,close,0.092,0.0011300000000000001,81.491,1537560000178,SPDR MSCI ACWI IMI,81.499,1537560600000,-0.211,-0.0025900000000000003,81.28,1535572800106,81.7,,,,,,,,,,81.491,Close,"September 21, 2018",1537560000178,1526,81.491,105938300,81.54,1537536600087,,81.399,NYSE Arca,,84.34,74.3211,0.03795470129153
ACIU,,,104758,,,close,0.16,0.01896,8.6,1537560000761,AC Immune SA,8.6,1537560000761,0,0,8.6,1537560079856,8.88,,,,,,,,,,8.6,Close,"September 21, 2018",1537560000761,80195,8.41,579319134,8.53,1537536600645,-17.2,8.44,NASDAQ Global Market,Healthcare,17.4,7.57,-0.336845243445692
ACIW,,,379488,,,close,-0.16,-0.00561,28.35,1537560000830,ACI Worldwide Inc.,28.35,1537560000830,0,0,28.35,1537562465284,28.84,,,,,,,,,,28.35,Close,"September 21, 2018",1537560000830,792436,28.29,3281796765,28.53,1537536600413,63,28.51,Nasdaq Global Select,Technology,28.98,20.23,0.24383909651828903
ACLS,,,316489,,,close,0.2,0.009930000000000001,20.35,1537560000348,Axcelis Technologies Inc.,20.35,1537560000348,0,0,20.35,1537562465321,20.5,,,,,,,,,,20.35,Close,"September 21, 2018",1537560000348,569684,20.05,658435361,20.15,1537536600523,12.04,20.15,Nasdaq Global Select,Technology,37.05,18.35,-0.301406717428087
ACM,,,791760,,,close,0.02,0.0006100000000000001,33.03,1537560278349,AECOM,33.03,1537560278349,-0.001,-3.0000000000000004e-05,33.029,1537560956489,33.4,,,,,,,,,,33.03,Close,"September 21, 2018",1537560278349,1081579,32.97,5310574102,33.03,1537536693136,11.97,33.01,New York Stock Exchange,Industrials,39.9,30.95,-0.12372722163308501
ACMR,,,41379,,,close,-0.35000000000000003,-0.028550000000000002,11.91,1537560000841,ACM Research Inc.,11.91,1537560000841,0,0,11.91,1537562465433,12.35,,,,,,,,,,11.91,Close,"September 21, 2018",1537560000841,33793,11.88,189150809,12.25,1537536600169,56.71,12.26,NASDAQ Global Market,Technology,15.5951,4.7437000000000005,1.090667081850533
ACN,,,1846566,,,close,0.06,0.00034,174.19,1537560011551,Accenture plc Class A (Ireland),174.19,1537560011551,0,0,174.19,1537562474000,175.64,,,,,,,,,,174.19,Close,"September 21, 2018",1537560011551,4714047,173.87,111727702600,174.75,1537536654701,27.35,174.13,New York Stock Exchange,Technology,175.64,132.27,0.14261145390256902
ACNB,,,8004,,,close,-1.5,-0.03764,38.35,1537560000697,ACNB Corporation,38.35,1537560000697,0,0,38.35,1537562465535,39.95,,,,,,,,,,38.35,Close,"September 21, 2018",1537560000697,41095,38.35,269936753,39.6,1537536600570,,39.85,NASDAQ Capital Market,Financial Services,41.45,26.8,0.2787230622003
ACOR,,,821994,,,close,0.05,0.0027500000000000003,18.2,1537560000488,Acorda Therapeutics Inc.,18.2,1537560000488,0,0,18.2,1537562465552,18.7,,,,,,,,,,18.2,Close,"September 21, 2018",1537560000488,3782912,17.75,864205397,18.15,1537536600181,18.02,18.15,Nasdaq Global Select,Healthcare,36.35,15.6,-0.193717991169977
ACP,,,64333,,,close,-0.029900000000000003,-0.0021000000000000003,14.2201,1537560120167,Aberdeen Income Credit Strategies Fund,14.22,1537560120167,-0.0001,-1e-05,14.22,1537561220333,14.3,,,,,,,,,,14.2201,Close,"September 21, 2018",1537560120167,54969,14.21,185914611,14.3,1537536601001,,14.25,New York Stock Exchange,Financial Services,14.93,13.3101,0.075408865516927
ACRE,,,90245,,,close,0.29,0.02074,14.27,1537560117360,Ares Commercial Real Estate Corporation,14.27,1537560117360,0,0,14.27,1537562465571,14.29,,,,,,,,,,14.27,Close,"September 21, 2018",1537560117360,354075,13.96,409529022,13.97,1537536601003,10.81,13.98,New York Stock Exchange,Real Estate,14.768,11.96,0.185571397389536
ACRS,,,248916,,,close,-0.26,-0.01685,15.17,1537560000532,Aclaris Therapeutics Inc.,15.17,1537560000532,0,0,15.17,1537562465587,15.49,,,,,,,,,,15.17,Close,"September 21, 2018",1537560000532,393444,14.91,469976658,15.47,1537536600178,-4.44,15.43,Nasdaq Global Select,Healthcare,28.62,14.115,-0.41077728725529306
ACRX,,,511076,,,close,0.25,0.06757,3.95,1537560000539,AcelRx Pharmaceuticals Inc.,3.95,1537560000539,0,0,3.95,1537562544150,3.95,,,,,,,,,,3.95,Close,"September 21, 2018",1537560000539,1520138,3.666,239369660,3.75,1537536600192,-4.34,3.7,NASDAQ Global Market,Healthcare,5.75,1.55,0.9943992682926831
ACSI,,,2755,,,close,0.19260000000000002,0.0056300000000000005,34.3833,1537560000000,American Customer Satisfaction,34.383,1537560000108,-0.1933,-0.005620000000000001,34.19,1537389024549,34.385,,,,,,,,,,34.3833,Close,"September 21, 2018",1537560000000,668,34.383,58451610,34.191,1537536600001,,34.1907,Cboe Global Markets EDGX,,34.49,28.799,0.11691959276018
ACST,,,162639,,,close,0.0213,0.03755,0.5885,1537560000662,Acasti Pharma Inc.,0.5851000000000001,1537560000662,-0.0145,-0.024640000000000002,0.5740000000000001,1537476576290,0.59,,,,,,,,,,0.5885,Close,"September 21, 2018",1537560000662,52298,0.5601,21586103,0.58,1537536600116,,0.5672,NASDAQ Capital Market,Healthcare,3.3565,0.4333,-0.370992713567839
ACT,,,10791,,,close,-0.2595,-0.009510000000000001,27.0305,1537560000603,AdvisorShares Vice ETF,27.05,1537560000603,0.0495,0.0018300000000000002,27.08,1537560148624,27.425,,,,,,,,,,27.0305,Close,"September 21, 2018",1537560000603,18982,27,12839488,27.32,1537536600748,,27.29,NASDAQ Global Market,,29.5,24.23,0.004387224306076
